100001,20250001,个人经营贷,2025/8/25,2025/8/25 8:16,SYS202508250816001,310101198001011234,13800138001,上海某贸易有限公司,上海市浦东新区,上海市,浦东新区,张江路100号,上海市闵行区,上海市,闵行区,春申路200号,13900139001,120,江苏省南京市鼓楼区,江苏省,南京市,鼓楼区中山路50号,1,正常,36,上海,本科,DEV001,上海市浦东新区,0,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,85.5,500000,300000,78.2,150000,800000,50000,65.3,200000,180000,450000,280000,120000,8,5,24,1,2,3,5,3,2,4,5,7,5,3,8,0.65,15,6,0.72,48,12,45,30,28,1.2,25,18,8,10,15,12,20,18,5,6,2,3,4,12,25,30,8,26,32,28,30,26,5,8,3,2,4,5,6,7,8,9,10,12,15,18,20,25,30000,0.75,0.12,15000,80000,25000,45,男,0,0
100002,20250002,个人消费贷,2025/8/26,2025/8/26 9:30,SYS202508260930002,320102198503021235,13900138002,北京科技有限公司,北京市朝阳区,北京市,朝阳区,望京街50号,北京市海淀区,北京市,海淀区,中关村南路30号,13800139002,90,河北省石家庄市桥西区,河北省,石家庄市,桥西区裕华路80号,1,正常,24,北京,大专,DEV002,北京市朝阳区,0,20,1,8500,0.12,1020,35000,24,36,北京科技有限公司,1,0.12,1020,1,0.12,0.12,1,60,72,84,0,0,2040,2,650,北京,0,0,92.3,350000,180000,88.5,120000,650000,45000,75.6,150000,120000,380000,250000,90000,6,4,30,2,1,2,4,2,1,3,4,5,3,2,6,0.78,20,4,0.81,60,10,50,35,32,1.5,30,20,10,12,18,15,25,22,8,9,3,4,5,15,30,35,12,28,34,30,32,28,6,9,4,3,5,6,7,8,10,11,12,14,18,22,25,28,28000,0.68,0.15,12000,75000,22000,38,男,1,0
100003,20250003,个人房贷,2025/8/27,2025/8/27 10:45,SYS202508271045003,330103197802031236,13700138003,广州贸易有限公司,广东省广州市天河区,广东省,广州市,天河路120号,广东省广州市番禺区,广东省,广州市,市桥街88号,13600139003,60,湖南省长沙市岳麓区,湖南省,长沙市,岳麓区麓山路66号,1,停机,48,广州,高中,DEV003,广东省广州市天河区,0,40,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,78.9,280000,220000,72.3,80000,520000,38000,68.9,120000,100000,320000,180000,65000,5,3,36,3,3,1,3,1,2,2,3,4,2,3,5,0.82,25,3,0.85,72,8,55,40,34,1.8,35,22,12,14,20,18,30,25,10,12,4,5,6,18,35,40,15,30,36,32,34,30,7,10,5,4,6,7,8,9,11,12,13,16,20,24,28,30,25000,0.6,0.18,10000,70000,20000,42,女,0,1
100004,20250004,个人经营贷,2025/8/28,2025/8/28 14:20,SYS202508281420004,340104199003041237,13500138004,深圳电子有限公司,广东省深圳市南山区,广东省,深圳市,科技园路200号,广东省深圳市宝安区,广东省,深圳市,新安街道150号,13400139004,30,湖北省武汉市江汉区,湖北省,武汉市,江汉区解放大道100号,1,正常,12,深圳,本科,DEV004,广东省深圳市南山区,0,91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88.5,420000,190000,80.5,110000,580000,42000,70.2,180000,140000,390000,260000,110000,7,6,42,1,2,3,6,3,2,4,5,8,4,3,7,0.71,18,5,0.75,84,15,48,38,36,2,40,25,15,16,22,20,32,28,12,15,5,6,7,20,40,45,18,34,40,36,38,34,8,12,6,5,7,8,9,10,12,13,14,18,22,26,30,32,32000,0.8,0.1,18000,85000,28000,35,男,0,0
100005,20250005,个人消费贷,2025/8/29,2025/8/29 16:05,SYS202508291605005,350105198512051238,13300138005,杭州互联网公司,浙江省杭州市西湖区,浙江省,杭州市,文三路300号,浙江省杭州市滨江区,浙江省,杭州市,江南大道88号,13200139005,180,四川省成都市锦江区,四川省,成都市,锦江区春熙路50号,1,正常,60,杭州,硕士,DEV005,浙江省杭州市西湖区,1,20,1,12000,0.1,1200,58000,36,48,杭州互联网公司,1,0.1,1200,2,0.1,0.1,2,48,60,96,0,0,2400,3,720,杭州,1,0,95.2,580000,250000,92.1,180000,720000,55000,82.3,220000,200000,520000,380000,150000,9,7,48,2,1,4,8,4,3,5,6,10,6,4,9,0.88,22,7,0.9,96,18,60,42,40,2.2,45,28,18,20,25,22,35,30,15,18,6,7,8,22,45,50,20,38,44,40,42,38,9,14,7,6,8,9,10,11,13,14,15,20,25,28,32,35,38000,0.85,0.08,22000,95000,32000,40,女,1,1
100006,20250006,个人房贷,2025/8/30,2025/8/30 11:10,SYS202508301110006,360106199108061239,13100138006,南京制造企业,江苏省南京市建邺区,江苏省,南京市,江东中路150号,江苏省南京市鼓楼区,江苏省,南京市,山西路80号,13000139006,240,山东省济南市历下区,山东省,济南市,历下区泉城路120号,0,空号,3,南京,中专,DEV006,江苏省南京市建邺区,0,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82.6,320000,210000,76.8,95000,600000,48000,74.5,160000,130000,350000,220000,95000,6,5,54,3,3,2,5,2,1,3,4,7,5,2,8,0.76,28,8,0.79,108,20,65,44,42,1.9,38,30,20,22,28,25,38,32,18,20,7,8,9,25,50,55,22,42,48,44,46,42,10,16,8,7,9,10,11,12,14,15,16,22,28,30,34,38,30000,0.7,0.14,16000,80000,26000,47,男,0,0
100007,20250007,个人经营贷,2025/8/31,2025/8/31 13:25,SYS202508311325007,370107198211071240,15900138007,天津物流公司,天津市河西区,天津市,河西区,友谊路100号,天津市河东区,天津市,河东区,津塘路50号,15800139007,150,山西省太原市小店区,山西省,太原市,小店区长风街80号,1,正常,72,天津,本科,DEV007,天津市河西区,0,20,1,9800,0.11,1078,42000,30,42,天津物流公司,1,0.11,1078,1,0.11,0.11,3,36,48,108,0,0,2156,1,580,天津,0,1,89.7,480000,230000,84.3,130000,680000,52000,78.9,200000,180000,480000,320000,130000,8,6,60,1,2,5,7,5,4,4,5,9,7,5,10,0.81,30,9,0.83,120,22,70,46,44,2.1,42,32,22,24,30,28,40,34,20,22,8,9,10,28,55,60,25,46,52,48,50,46,11,18,9,8,10,11,12,13,15,16,17,24,30,32,36,40,35000,0.78,0.11,20000,88000,30000,43,女,1,0
100008,20250008,个人消费贷,2025/9/1,2025/9/1 9:45,SYS202509010945008,380108199509081241,15700138008,重庆餐饮公司,重庆市渝中区,重庆市,渝中区,解放碑200号,重庆市江北区,重庆市,江北区,观音桥100号,15600139008,100,贵州省贵阳市云岩区,贵州省,贵阳市,云岩区中华路80号,1,停机,18,重庆,高中,DEV008,重庆市渝中区,0,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84.2,350000,200000,79.4,105000,620000,45000,72.1,170000,150000,370000,240000,100000,7,5,66,2,1,6,9,6,5,5,6,11,8,6,12,0.73,32,10,0.77,132,25,75,48,46,2.3,45,34,24,26,32,30,42,36,22,24,9,10,11,30,60,65,28,50,56,52,54,50,12,20,10,9,11,12,13,14,16,17,18,26,32,34,38,42,32000,0.72,0.13,17000,82000,29000,36,男,0,1
100009,20250009,个人房贷,2025/9/2,2025/9/2 15:30,SYS202509021530009,390109198708091242,15500138009,西安旅游公司,陕西省西安市碑林区,陕西省,西安市,长安路150号,陕西省西安市雁塔区,陕西省,西安市,小寨路80号,15400139009,70,云南省昆明市五华区,云南省,昆明市,五华区人民路100号,1,正常,30,西安,大专,DEV009,陕西省西安市碑林区,0,20,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,87.3,410000,240000,81.6,140000,700000,58000,76.8,210000,190000,510000,350000,140000,9,8,72,3,3,4,10,7,6,6,7,12,9,7,13,0.84,35,12,0.86,144,28,80,50,48,2.4,48,36,26,28,34,32,44,38,24,26,10,11,12,32,65,70,30,54,60,56,58,54,13,22,11,10,12,13,14,15,17,18,19,28,34,36,40,44,38000,0.82,0.09,21000,90000,33000,44,女,1,0
100010,20250010,个人经营贷,2025/9/3,2025/9/3 10:15,SYS202509031015010,400110199812101243,15300138010,郑州贸易公司,河南省郑州市金水区,河南省,郑州市,经三路100号,河南省郑州市二七区,河南省,郑州市,大学路80号,15200139010,45,甘肃省兰州市城关区,甘肃省,兰州市,城关区张掖路150号,1,正常,24,郑州,本科,DEV010,河南省郑州市金水区,0,40,1,11000,0.09,990,46000,28,40,郑州贸易公司,1,0.09,990,2,0.09,0.09,1,24,36,120,0,0,1980,2,620,郑州,0,0,91.8,520000,260000,87.2,160000,750000,62000,80.5,230000,210000,550000,400000,160000,10,9,84,1,2,7,11,8,7,7,8,13,10,8,14,0.89,38,14,0.91,156,30,85,52,50,2.5,50,38,28,30,36,34,46,40,26,28,11,12,13,34,70,75,32,58,64,60,62,58,14,24,12,11,13,14,15,16,18,19,20,30,36,38,42,46,40000,0.88,0.07,23000,95000,35000,39,男,0,0
